timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z,IMU_vel_x,IMU_vel_y,IMU_vel_z,Razor_acc_x,Razor_acc_y,Razor_acc_z,Razor_vel_x,Razor_vel_y,Razor_vel_z,LC_data,speed,current,duty_cycle
0:00:01.324207,-444,158,860,2,-12,1,-0.283,-0.026,0.971,,,,,,,
0:00:01.329418,-442,161,861,1,-9,1,-0.284,-0.027,0.97,0.107,-0.145,-0.847,,,,
0:00:01.336217,-445,158,886,1,-11,2,-0.284,-0.026,0.973,0.191,-0.16,-0.862,,,,
0:00:01.344203,-454,158,874,1,-8,1,-0.284,-0.024,0.972,0.244,-0.229,-0.771,,,,
0:00:01.350219,-445,163,874,3,-9,2,,,,0.183,-0.175,-0.793,,,,
0:00:01.359162,-448,155,868,2,-11,2,-0.283,-0.023,0.97,0.153,-0.313,-0.847,,,,
0:00:01.364203,-455,160,875,0,-9,0,-0.284,-0.025,0.97,,,,4826,,,
0:00:01.373310,-457,166,882,2,-8,0,-0.283,-0.024,0.972,0.16,-0.275,-0.801,,67240464,9870,48774
0:00:01.378516,-453,163,875,1,-10,-1,-0.284,-0.024,0.971,0.16,-0.252,-0.832,,,,
0:00:01.385351,-460,166,878,3,-11,0,-0.284,-0.025,0.973,0.061,-0.153,-0.946,,,,
0:00:01.394387,-454,161,871,0,-11,1,,,,0.137,-0.137,-0.87,,,,
0:00:01.401559,-446,152,873,1,-10,1,-0.284,-0.026,0.973,0.107,-0.168,-0.832,,,,
0:00:01.406501,-446,164,871,1,-9,0,-0.283,-0.024,0.972,,,,,,,
0:00:01.415577,-448,155,879,4,-11,0,-0.281,-0.026,0.973,0.099,-0.191,-0.816,6207,,,
0:00:01.422291,-443,166,874,2,-10,2,-0.285,-0.023,0.974,0.137,-0.237,-0.809,,,,
0:00:01.441676,-448,164,877,4,-12,2,-0.284,-0.025,0.972,0.137,-0.252,-0.816,,67240464,9870,48774
0:00:01.446645,-449,162,874,2,-10,2,,,,0.092,-0.237,-0.755,,,,
0:00:01.446706,-452,159,884,2,-10,0,-0.285,-0.024,0.97,,,,,,,
0:00:01.462157,-449,158,878,1,-12,0,-0.284,-0.024,0.971,0.183,-0.229,-0.755,,,,
0:00:01.466791,-453,154,878,3,-10,3,-0.281,-0.026,0.971,0.145,-0.229,-0.847,,,,
0:00:01.466868,-446,162,876,4,-8,1,-0.284,-0.025,0.974,0.13,-0.267,-0.908,-1529,,,
0:00:01.478330,-442,161,879,1,-11,2,,,,0.114,-0.198,-0.824,,,,
0:00:01.522473,-443,159,876,1,-11,1,-0.282,-0.023,0.974,0.16,-0.259,-0.87,,,,
0:00:01.522536,-455,165,875,1,-12,0,-0.282,-0.023,0.972,,,,,67240464,9870,48774
0:00:01.522582,-439,156,877,2,-10,1,-0.283,-0.025,0.972,0.114,-0.214,-0.778,,,,
0:00:01.522626,-446,162,871,2,-11,1,-0.284,-0.024,0.97,0.092,-0.275,-0.786,,,,
0:00:01.522675,-450,156,870,0,-10,1,-0.284,-0.024,0.971,0.046,-0.298,-0.824,,,,
0:00:01.522717,-443,160,876,1,-9,1,,,,0.13,-0.183,-0.71,5951,,,
0:00:01.522760,-455,158,874,2,-11,1,-0.281,-0.024,0.971,0.053,-0.16,-0.816,,,,
0:00:01.540244,-450,161,877,1,-13,1,-0.281,-0.024,0.972,,,,,,,
0:00:01.555213,-449,159,883,2,-10,1,-0.284,-0.024,0.973,0.107,-0.114,-0.877,,,,
0:00:01.555284,-446,166,874,0,-11,0,-0.285,-0.025,0.973,0.092,-0.107,-0.916,,67240464,9870,48774
0:00:01.555330,-449,161,882,3,-7,0,-0.284,-0.024,0.971,0.114,-0.183,-0.885,,,,
0:00:01.555375,-446,161,877,1,-10,3,,,,0.122,-0.198,-0.87,,,,
0:00:01.567563,-451,159,882,3,-11,1,-0.283,-0.025,0.968,0.092,-0.229,-0.809,-8894,,,
0:00:01.569067,-453,165,876,4,-10,1,-0.283,-0.025,0.969,,,,,,,
0:00:01.584326,-452,160,876,1,-10,2,-0.284,-0.025,0.971,0.168,-0.244,-0.755,,,,
0:00:01.586137,-461,155,883,1,-12,0,-0.282,-0.024,0.968,0.023,-0.229,-0.778,,,,
0:00:01.595434,-443,156,874,4,-10,1,-0.283,-0.025,0.969,0.069,-0.16,-0.839,,,,
0:00:01.616989,-444,160,873,2,-9,3,,,,0.023,-0.168,-0.847,,67240464,9870,48774
0:00:01.617677,-447,161,886,0,-11,3,-0.281,-0.025,0.971,,,,,,,
0:00:01.617749,-455,164,876,0,-11,1,-0.286,-0.025,0.971,0.046,-0.168,-0.809,-5777,,,
0:00:01.624623,-451,167,874,0,-9,1,-0.283,-0.025,0.967,0.0,-0.214,-0.755,,,,
0:00:01.627396,-447,168,877,2,-11,1,-0.284,-0.025,0.968,0.137,-0.168,-0.74,,,,
0:00:01.646975,-448,169,871,,,,-0.284,-0.024,0.968,0.191,-0.183,-0.778,,,,
0:00:01.647047,-455,163,876,2,-11,1,,,,0.175,-0.214,-0.824,,,,
0:00:01.647398,-453,160,883,3,-10,1,-0.282,-0.026,0.971,,,,,,,
0:00:01.679709,-442,161,882,0,-11,0,-0.284,-0.024,0.969,0.237,-0.206,-0.885,,67240464,9870,48774
0:00:01.679782,-448,156,877,4,-9,1,-0.282,-0.023,0.974,0.29,-0.13,-0.885,-4190,,,
0:00:01.679837,-440,156,876,1,-10,1,-0.285,-0.026,0.972,0.221,-0.191,-0.832,,,,
0:00:01.679886,-452,166,880,3,-11,0,-0.283,-0.025,0.97,0.168,-0.183,-0.87,,,,
0:00:01.679933,-441,158,881,1,-8,1,,,,-0.023,-0.137,-0.801,,,,
0:00:01.704211,-449,154,865,2,-9,0,-0.281,-0.022,0.972,,,,,,,
0:00:01.704278,-450,162,886,2,-10,2,-0.285,-0.025,0.971,0.214,-0.275,-0.671,,,,
0:00:01.704325,-457,158,873,2,-11,0,-0.282,-0.027,0.97,0.16,-0.32,-0.786,,,,
0:00:01.708873,-446,165,871,2,-12,1,-0.286,-0.024,0.975,-0.084,-0.092,-0.801,-2735,67240464,9870,48774
0:00:01.728271,-455,160,871,0,-15,0,-0.283,-0.023,0.969,0.046,-0.046,-0.839,,,,
