timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:03.309373,-15,52,1007
0:00:03.311560,-22,58,1017
0:00:03.340435,-14,51,995
0:00:03.340824,-18,53,1010
0:00:03.345444,-6,55,1015
0:00:03.347569,-16,55,1011
0:00:03.347808,-12,61,1004
0:00:03.358364,-9,52,1004
0:00:03.368891,-15,58,1004
0:00:03.387267,-6,62,1016
0:00:03.390155,-23,62,1002
0:00:03.390713,-19,54,1017
0:00:03.395067,-13,61,1015
0:00:03.395616,-10,57,1014
0:00:03.409523,0,57,1017
0:00:03.412288,-19,68,1010
0:00:03.421802,-13,51,1013
0:00:03.422506,-9,59,1010
0:00:03.429566,-9,60,1008
0:00:03.457299,-9,62,1013
0:00:03.459603,-10,55,1017
0:00:03.459939,-24,57,1019
0:00:03.460190,-12,56,1000
0:00:03.464494,-16,62,1019
0:00:03.471609,-21,69,1010
0:00:03.478533,-12,64,1002
0:00:03.485561,-20,62,1008
0:00:03.492923,-8,58,1001
0:00:03.499634,-8,58,1007
0:00:03.510357,-8,57,1008
0:00:03.521223,-15,62,1015
0:00:03.522443,-17,56,1019
0:00:03.528216,-24,60,1025
0:00:03.557680,-17,48,1008
0:00:03.558088,-11,66,1017
0:00:03.558265,-9,54,1008
0:00:03.558378,-11,56,1017
0:00:03.562541,-2,59,1009
0:00:03.571605,-12,62,1019
0:00:03.586458,-15,62,1009
0:00:03.586735,-17,59,1008
0:00:03.600602,-7,50,1021
0:00:03.600773,-10,62,1013
0:00:03.604528,-14,64,1007
0:00:03.611663,-15,64,1012
0:00:03.618902,-12,59,1013
0:00:03.627171,-19,62,1021
0:00:03.649991,-6,62,1013
0:00:03.662242,-6,61,1009
0:00:03.662667,-23,62,1012
0:00:03.662959,-12,60,1007
0:00:03.670408,-19,62,1009
0:00:03.671586,-7,55,1011
0:00:03.685222,-15,61,1024
0:00:03.687135,-11,60,1019
0:00:03.688604,-16,60,1010
0:00:03.697096,-20,59,1019
0:00:03.702542,-13,55,1012
0:00:03.712416,-13,64,1012
0:00:03.773355,-9,57,1012
0:00:03.775180,-16,57,1002
0:00:03.776465,-4,67,1003
0:00:03.776725,-13,63,1011
0:00:03.779059,-13,47,1007
0:00:03.781563,-18,57,1007
0:00:03.783671,-13,58,1011
0:00:03.789942,-13,52,1017
0:00:03.790961,-10,57,1001
0:00:03.791441,-16,63,1009
0:00:03.793320,-21,53,1016
0:00:03.800162,-7,53,1012
0:00:03.803907,-10,59,1017
0:00:03.807711,-13,58,1023
0:00:03.817329,-18,55,1019
0:00:03.822148,-9,59,1010
0:00:03.828501,-15,53,1000
0:00:03.843413,-7,57,1012
0:00:03.843844,-9,56,1018
0:00:03.855696,-11,55,1019
0:00:03.856520,-10,61,1018
0:00:03.864662,-15,53,1017
0:00:03.870500,-15,68,1015
0:00:03.879132,-4,68,997
0:00:03.884508,-15,58,1016
0:00:03.893635,-10,64,1010
0:00:03.898803,-18,59,1024
0:00:03.914332,-18,60,1013
0:00:03.922288,-17,57,1002
0:00:03.932784,-14,58,1009
0:00:03.937597,-4,54,1019
0:00:03.937972,-20,57,1016
0:00:03.947615,-7,53,1024
0:00:03.949709,-16,59,997
0:00:03.963389,-13,61,1016
0:00:03.963611,-9,57,1007
0:00:03.968552,-7,57,1014
0:00:03.975612,-11,59,1014
0:00:03.984222,-15,58,1017
0:00:03.997488,-15,58,1007
0:00:03.997797,-15,60,1012
0:00:04.014137,-9,62,1010
0:00:04.020560,-13,57,1004
0:00:04.020731,-25,57,998
0:00:04.037197,-9,55,1016
0:00:04.054335,-9,54,1007
0:00:04.056552,-9,52,1010
0:00:04.060261,-14,58,1001
0:00:04.061763,-14,58,1009
0:00:04.064167,-15,61,1012
0:00:04.067914,-12,66,1011
0:00:04.083646,-9,52,1019
0:00:04.083855,-17,53,1012
0:00:04.092657,-12,53,1011
0:00:04.100634,-23,60,1028
0:00:04.101594,-9,56,1007
0:00:04.114858,-7,54,1017
0:00:04.122309,-14,55,1016
0:00:04.137324,-13,53,1017
0:00:04.139622,-15,56,1012
0:00:04.139943,-16,63,1010
0:00:04.149168,-10,61,1013
0:00:04.150505,-9,57,1012
0:00:04.159202,-13,63,1017
0:00:04.164579,-11,57,1004
0:00:04.178495,-15,54,1005
0:00:04.183260,-14,63,1012
0:00:04.195232,-13,54,1009
0:00:04.195448,-22,62,1012
0:00:04.200627,-15,59,1009
0:00:04.207740,-16,56,1008
0:00:04.214900,-9,59,996
0:00:04.220604,-13,62,1010
0:00:04.230620,-16,60,1010
0:00:04.244668,-21,48,1007
0:00:04.244835,-15,59,1017
0:00:04.250169,-3,59,1001
0:00:04.255720,-15,61,1010
0:00:04.264490,-17,59,1014
0:00:04.269768,-16,56,1013
0:00:04.276598,-8,59,1009
0:00:04.293168,-11,59,1009
0:00:04.298027,-17,62,1011
0:00:04.306208,-13,60,1014
0:00:04.308407,-13,63,1012
0:00:04.315978,-8,56,1014
0:00:04.328560,-12,57,1004
0:00:04.341923,-20,54,1015
0:00:04.342079,-15,58,1007
0:00:04.343219,-9,66,1003
0:00:04.352385,-6,58,1013
0:00:04.355441,-11,62,1012
0:00:04.360563,-13,58,1014
0:00:04.371473,-18,64,1009
